name,MV,MVerror,Mbol1,Mbol1error,Mbol2,Mbol2error,a,aerror,M1,M1error,M2,M2error,R1,R1error,R2,R2error,L1,L1error,L2,L2error
TIC 116484192,5.202674143,1.565315685,5.314932652,1.278074905,6.568620723,1.278074905,1.880785386,0.785184046,0.445051132,0.361908122,0.286655978,0.235887278,1.011055702,0.422092182,0.484050186,0.202079666,0.885582552,0.731485612,0.279096135,0.230531651
TIC 122891349,4.275766212,1.439179492,4.369674406,1.175085135,6.101849246,1.175085135,2.331020259,0.881007746,0.669500872,0.485295822,0.262452358,0.202230739,1.322615988,0.499881941,0.56922881,0.215139696,1.992931705,1.545624585,0.404224358,0.313497499
TIC 142619515,5.325185541,1.581987374,5.226957272,1.291687282,6.612062682,1.291687282,2.353800543,0.995515478,0.925529623,0.763824815,0.538853749,0.447086462,1.303072414,0.551120935,0.583074766,0.246605413,0.968152351,0.80590548,0.270334541,0.22503079
TIC 154875092,3.729228874,1.364805181,3.839343682,1.114358764,5.271927518,1.114358764,3.290561573,1.170858429,1.52577706,1.030209591,0.720817075,0.53252189,1.821173092,0.648015793,0.848137347,0.301787017,3.141275017,2.337959576,0.839599992,0.624889839
TIC 166853161,4.823165811,1.513671142,5.071947855,1.235907312,5.869786084,1.235907312,2.286785698,0.916857354,0.638640952,0.495812674,0.630730771,0.505631719,1.131293926,0.453577769,0.667563991,0.267651208,1.08059783,0.870678478,0.518237457,0.417563489
TIC 193728983,2.601239021,1.211305204,2.822095542,0.989026558,3.643031635,0.989026558,6.331028854,1.975886463,6.507592268,3.759595273,5.510364723,3.695195913,3.084045333,0.962517083,1.987879455,0.620408499,7.513697193,5.079942243,3.527599333,2.384977782
TIC 1981434198,4.667058794,1.492427668,5.043221,1.218562088,5.788678644,1.218562088,1.684408707,0.664137652,0.249106327,0.189690022,0.218385485,0.173146981,0.909108484,0.358448143,0.538328498,0.212255032,1.098501145,0.87577619,0.552862912,0.44076802
TIC 219109908,2.974072364,1.262041396,3.103493198,1.030452485,4.583375389,1.030452485,4.33006952,1.412928127,6.130134196,4.251531819,0.544462143,0.331704029,2.373242402,0.774403489,1.173358997,0.382874206,5.919967517,4.13902588,1.514838894,1.059120235
TIC 219750638,3.182041573,1.290342421,4.074767492,1.053560175,3.654822056,1.053560175,4.040939551,1.351006131,2.533445829,1.789036577,1.733319713,1.08697808,1.396138314,0.466770512,1.72499333,0.576716512,2.448869543,1.743114629,3.605320056,2.56628049
TIC 237278994,4.076742598,1.412095809,4.251882177,1.1529714,5.627861041,1.1529714,2.437556066,0.901423982,0.711566845,0.502781521,0.292883924,0.222316876,1.415810009,0.523575689,0.599740601,0.221787949,2.194110958,1.676946508,0.617827224,0.472201828
