name,RA,DEC,Period,T1,T1error,incl,inclerror,q,qerror,f,ferror,t2t1,t2t1error,l3,l3error,r1,r2,l2/l1,R2
TIC 441810703,267.1008482,77.05329006,0.336753861,5517,11,41.79997063,2.891680618,0.849702777,0.120304906,0.598296509,0.292237681,0.96057129,0.018336996,0,0,0.452694438,0.424903154,0.756062614,0.99683156
TIC 380127556,181.848397,-59.950766,0.451035981,5800,9,54.7358529,0.637744471,0.178902652,0.038330843,0.770054673,0.149033598,1.012674067,0.006286809,0,0,0.565528116,0.2816015,0.24924364,0.998986635
TIC 55896456,68.63818066,-9.320752501,0.464436039,6718,56,82.97906363,1.198294607,0.502082788,0.066275318,0.84196401,0.036573595,0.986991783,0.003814905,0,0,0.507897583,0.392601715,0.558444716,0.999653465
TIC 143043815,55.27146862,-30.41855308,0.363363384,5156,58,33.22331,0.297874706,0.905547079,0.036675418,0.773769623,0.048125145,0.921080661,0.00330143,0,0,0.469550584,0.453039144,0.672632463,0.996768747
TIC 74073423,83.09282062,25.35210859,0.307467423,5752,14,77.17430699,0.315391041,0.301385684,0.00581281,0.205681329,0.005449989,0.92083231,0.000657971,0,0,0.498738642,0.293260753,0.255620806,0.997886108
TIC 393943031,344.1080681,-36.01389545,0.449770587,6510,9,82.18604323,0.207183523,0.173150742,0.000801058,0.416082772,0.013210085,0.976098901,0.000869661,0,0,0.552415523,0.260477842,0.201424675,0.999468602
TIC 441570283,109.2705143,77.17388733,0.298286045,5298,92,85.5118,0.4121,0.444,0.0045,0.1859,0.0214,0.9724,0.0016,0,0,0.4652,0.3245,0.4358,0.9966
TIC 258776281,286.4916614,70.20770724,0.521831565,6287,29,84.48628136,0.854750281,0.179339066,0.002316257,0.582267978,0.039813647,0.972347392,0.001821343,0,0,0.556997338,0.271705745,0.210382302,0.999158865
TIC 408256672,70.56744431,-25.82535472,0.254993004,5477,18,74.89419577,0.233529848,0.921015797,0.105395516,0.049511227,0.008741152,0.955428338,0.00147839,0,0,0.391695643,0.377220187,0.784312425,0.99746173
TIC 33596460,28.89936158,-24.5467361,0.424211459,6778,5,65.33688533,0.865007579,0.314190498,0.060403257,0.275802438,0.049002909,0.980972856,0.003417856,0,0,0.499355668,0.30116208,0.338588935,0.998996762
TIC 336208030,281.2776156,40.18651595,0.577975323,7474,177,73.49775841,0.400810743,0.467528145,0.042460226,0.493088864,0.026543398,0.991961784,0.001494242,0,0,0.483522197,0.353141412,0.511679644,0.99867201
TIC 233043818,259.6034852,22.48090149,0.371003133,5698,24,74.95245412,0.681212537,0.30562174,0.02052626,0.18490231,0.014592447,0.953642326,0.001550322,0,0,0.496413732,0.293099171,0.292277278,0.999342596
TIC 173795590,349.9605497,44.12595844,0.332953266,5736,41,76.14180255,0.138208378,0.209007345,0.001405235,0.339799717,0.013721785,0.971565305,0.000908064,0,0,0.534828224,0.271454956,0.228858683,0.998469592
TIC 358069227,38.50464793,-65.60952303,0.398643659,5663,28,37.5720578,1.073050438,0.97163236,0.034733391,0.848055506,0.133910923,0.944211942,0.006966467,0,0,0.47608159,0.471408378,0.798473488,0.99887291
TIC 420899356,273.3681238,52.09423508,0.338671601,5632,4,32.42434223,1.125614473,0.199361473,0.040412095,0.687493076,0.160552252,0.787407844,0.037419692,0,0,0.554605128,0.286585137,0.101693496,0.991772215
TIC 56001210,69.7155277,-9.532366201,0.378697765,6325,12,89.3270936,0.718154122,0.250813923,0.001196562,0.309212537,0.013021316,1.005466718,0.001160611,0,0,0.519120233,0.284479408,0.301699844,0.998988467
TIC 55756813,74.949033,-65.138119,0.343085241,5877,3,56.22845096,0.693473099,0.78524471,0.156652358,0.092747722,0.025230473,0.956859317,0.012707036,0,0,0.409394077,0.366974221,0.688671821,0.992046944
TIC 163965682,321.2514885,33.68748253,0.786125343,9093,241,69.9549,0.4605,0.4012,0.1233,0.158,0.0315,0.9622,0.0016,0,0,0.4719,0.3138,0.4005,0.9992
TIC 31529171,89.666096,-68.196057,0.461811696,6256,16,56.48813894,1.15938815,0.217026236,0.068508021,0.446272271,0.147813192,0.998576916,0.011995108,0,0,0.537018852,0.280320797,0.264771401,0.995819385
TIC 152362660,65.26182967,-26.49098728,0.395988977,6360,6,65.98502027,0.281641562,0.397380555,0.033988901,0.280959343,0.018550742,1.002732677,0.002001445,0,0,0.480777121,0.321753619,0.446049281,0.999629448
TIC 50170202,278.1119442,14.5568792,0.588217238,6609,35,35.18791967,0.872842016,0.884413687,0.095789874,0.676361059,0.139140638,0.972155387,0.006660965,0,0,0.45907589,0.438302623,0.831675627,0.994456519
TIC 22017780,195.8183722,36.61684592,0.384336416,5967,118,73.05984423,0.226258079,0.332574713,0.009346179,0.414022698,0.009054486,0.995622322,0.000652711,0,0,0.503226952,0.315288216,0.379051469,0.999614321
TIC 38707340,66.454466,-60.512348,0.563747721,6906,41,76.57418361,0.654177551,0.15783996,0.002872915,0.090124191,0.041941513,0.950650711,0.004051507,0,0,0.546755981,0.238443507,0.162213502,0.996924867
TIC 81583239,106.8357569,-23.44039789,0.548823411,7347,15,39.08823785,1.827838461,0.882210484,0.120293038,0.633687337,0.236251732,0.900374396,0.031423599,0,0,0.454314959,0.433015332,0.663584339,0.993688159
TIC 408518243,14.14954208,10.67355984,0.439606331,6993,9,67.21001945,0.11146174,0.950679135,0.081943755,0.048490555,0.004637877,0.966090018,0.001831532,0,0,0.388848209,0.379948918,0.861562217,0.999230105
TIC 441128066,39.63825126,-14.29909036,0.440569154,6313,7,83.58665783,0.066362569,0.37037564,0.000555204,0.321502626,0.003830865,0.98391516,0.000308145,0,0,0.489042837,0.318440825,0.395535247,0.999653791
TIC 422327572,203.192295,-17.758987,0.409530414,5088,76,62.5917193,0.964077749,0.141032878,0.017736147,0.149619354,0.062861307,0.952272316,0.001471111,0,0,0.557953145,0.233302796,0.143849258,0.996353024
TIC 29777922,64.376172,-66.827366,0.530750504,6765,30,78.72428283,1.696237626,0.112524328,0.003892392,0.410625134,0.127436704,0.863999235,0.006507473,0,0,0.583602821,0.228176958,0.093926727,0.996026476
TIC 394896142,203.1052506,-74.60995262,0.738819237,6606,27,59.1876594,0.518284427,0.160448534,0.016734974,0.142794187,0.036802649,0.970601348,0.002303222,0,0,0.547417533,0.241959766,0.177380777,0.997578662
TIC 243319567,289.7003303,55.59433861,0.438977546,6392,135,81.40019811,0.707475936,0.461377758,0.022889086,0.296983589,0.023367434,0.986473562,0.002576284,0,0,0.469927508,0.336261571,0.485935718,0.998083232
TIC 359987981,223.910267,-79.80574,1.0646012,11260,327,85.8325857,0.492306765,0.114861248,0.001080972,0.529661788,0.028666651,0.890063456,0.002571912,0,0,0.585958382,0.234334881,0.120393971,0.99945628
TIC 441200647,335.7197534,-24.62002755,1.155502988,11967,355,86.16051447,0.895592951,0.139440898,0.001195689,0.451545579,0.029428675,0.883211861,0.002066731,0,0,0.569617734,0.245482374,0.139361251,0.999494964
TIC 43864479,77.89214221,-10.57325827,0.594681319,6213,48,83.52738453,0.592584742,0.197806535,0.002101127,0.5714965,0.031857387,0.977082411,0.001366387,0,0,0.549657192,0.279409503,0.232778337,0.999149838
TIC 23221002,47.46976563,-6.892641741,0.445008333,5637,18,80.38892556,0.135627759,0.378466944,0.003374359,0.167610602,0.007083947,0.966587974,0.000729393,0,0,0.477458761,0.309601106,0.370449134,0.999104933
TIC 319291434,53.65433437,-9.129334527,0.351219713,5942,15,67.47156125,0.582114411,0.19812261,0.013455384,0.410253833,0.029976744,0.956488828,0.002402276,0,0,0.542123531,0.270898306,0.210305574,0.996994647
TIC 306772761,121.0431734,-67.91575053,0.41309548,6239,8,67.78197757,0.605769495,0.483951124,0.108046773,0.154077947,0.030482316,0.990882437,0.004425821,0,0,0.455730012,0.329531354,0.505633262,0.998472123
TIC 345451479,57.98765058,9.691532375,0.442872021,5335,21,75.55415293,0.367982859,0.348149819,0.014035495,0.156033865,0.01182928,0.950287395,0.001005076,0,0,0.483798404,0.301893177,0.32064329,0.999094562
TIC 293619461,59.713154,-51.175823,0.310529442,6258,5,89.98829842,0.016025633,0.298801582,0.00037078,0.999882805,0.000130066,1.018258364,0.000415817,0,0,0.547962488,0.349512123,0.41516095,0.998748303
TIC 120499528,285.4108286,39.04113958,0.369363329,5851,113,83.29783505,0.299575364,0.357858536,0.002503486,0.441467384,0.019118461,0.978934325,0.001440238,0,0,0.499465174,0.32385591,0.384116359,0.999071263
TIC 5795305,348.750395,-15.04677279,0.373692737,6008,7,66.88368042,0.432809384,0.125438425,0.003972676,0.518769342,0.022062809,0.954324991,0.001558371,0,0,0.579490803,0.240420014,0.143737675,0.999657174
TIC 158173344,286.0571974,45.94935408,0.894081591,6991,50,63.94602133,1.318765719,0.375199516,0.101789766,0.11035524,0.050107096,0.946777506,0.004927625,0,0,0.474618819,0.304974735,0.348951644,0.998938124
